description,quantity
"stalen geïsoleerde | overheaddeur | afm. 4000 x 3600 mm | glazen lichtstrook | U-waarde glas = | 1,1 W/m2K",9
"kunststof kozijn | afm. 1350 x 5215 mm | U-waarde glas 1,1",5
kunststof loopdeur | met bovenlicht | afm. 3030 x 985 mm,1
bk goot nieuw gebouwdeel,1
+6350 P bk kozijn,2
ligusterhaag | hoog 1 m,3
+5000 P bk kozijn,1
deur | bestaand,1
+0 P,3
"GEVELOPBOUW | - sandwich wandpanelen, kleur donkergrijs | Rc- waarde 4,7 m2K/W",1
"stalen geïsoleerde | overheaddeur | afm. 3000 x 3600 mm | glazen lichtstrook | U-waarde glas 1,1",7
"kunststof kozijn | afm. 1350 x 3000 mm | kleur wit RAL9001 | U-waarde glas 1,1",7
+4950 P,1
+3650 P,1
